hostname1,hostname2,demand
203.75.189.227,SKC1-ROUTER-3315,1
203.75.189.227,TNCD-ROUTER-3311,2
203.75.189.227,TNCD-ROUTER-3312,1
203.75.189.227,TPDB-ROUTER-4208,1
203.75.189.227,TPDB-ROUTER-4209,2
203.75.189.227,TPDB-ROUTER-4210,3
203.75.189.227,TPDT-ROUTER-4001,1
203.75.189.227,TPDT-ROUTER-4002,1
203.75.189.227,TPDT-ROUTER-4003,1
203.75.189.227,TPDT-ROUTER-4004,3
203.75.189.227,TPDT-ROUTER-4005,2
203.75.189.227,TPDT-ROUTER-4006,2
203.75.189.228,203.75.75.129,1
203.75.189.228,210.59.129.1,1
203.75.189.228,FYFY-ROUTER-3301,1
203.75.189.228,TCHN-ROUTER-3301,1
203.75.189.228,TNCD-ROUTER-3311,1
203.75.189.228,TNCD-ROUTER-3312,1
203.75.189.228,TPDB-ROUTER-4209,2
203.75.189.228,TPDB-ROUTER-4210,3
203.75.189.228,TPDT-ROUTER-4001,1
203.75.189.228,TPDT-ROUTER-4002,1
203.75.189.228,TPDT-ROUTER-4003,3
203.75.189.228,TPDT-ROUTER-4004,2
203.75.189.228,TPDT-ROUTER-4005,3
203.75.189.228,TPDT-ROUTER-4006,3
203.75.2.131,TCHN-ROUTER-3302,1
203.75.2.131,TNE1-ROUTER-3301,2
203.75.2.131,TPDB-ROUTER-4208,1
203.75.2.131,TPDB-ROUTER-4209,1
203.75.2.131,TPDB-ROUTER-4210,1
203.75.2.131,TPDT-ROUTER-4001,1
203.75.2.131,TPDT-ROUTER-4002,1
203.75.2.131,TPDT-ROUTER-4003,1
203.75.2.131,TPDT-ROUTER-4004,2
203.75.2.131,TPDT-ROUTER-4005,3
203.75.2.131,TPDT-ROUTER-4006,2
203.75.2.66,SCZS-ROUTER-3311,1
203.75.75.129,203.75.189.227,2
203.75.75.129,203.75.189.228,2
203.75.75.129,210.242.0.190,1
203.75.75.129,220.128.0.245,35
203.75.75.129,CAW1-ROUTER-3311,251
203.75.75.129,CAW1-ROUTER-3312,228
203.75.75.129,CHCH-ROUTER-3301,329
203.75.75.129,CHCH-ROUTER-3302,314
203.75.75.129,CLPY-ROUTER-3301,509
203.75.75.129,CLPY-ROUTER-3302,534
203.75.75.129,CSLL-ROUTER-3301,154
203.75.75.129,CSLL-ROUTER-3302,183
203.75.75.129,FSE1-ROUTER-3301,71
203.75.75.129,FSE1-ROUTER-3302,82
