HB10102116,TPDB-ROUTER-3316,220.128.33.20,TPDB-ROUTER-4402,220.128.0.38,1000,1000,100
HB10102115,TPDB-ROUTER-3312,220.128.33.18,TPDB-ROUTER-4402,220.128.0.38,1000,1000,100
G20012,TPDT-ROUTER-3012,220.128.0.92,TYFO-ROUTER-3016,220.128.0.46,40000,140,140
G20014,TPDT-ROUTER-3012,220.128.0.92,TYFO-ROUTER-3016,220.128.0.46,40000,140,140
G20029,TPDT-ROUTER-3012,220.128.0.92,TYFO-ROUTER-3016,220.128.0.46,40000,140,140
HB10200508,TYFO-ROUTER-3015,220.128.0.45,TYFO-ROUTER-3016,220.128.0.46,10000,10,10
G20015,TPDT-ROUTER-3011,220.128.0.91,TYFO-ROUTER-3015,220.128.0.45,40000,140,140
G20011,TPDT-ROUTER-3011,220.128.0.91,TYFO-ROUTER-3015,220.128.0.45,40000,140,140
G20028,TPDT-ROUTER-3011,220.128.0.91,TYFO-ROUTER-3015,220.128.0.45,40000,140,140
223D-70953,TPDT-ROUTER-3011,220.128.0.91,PCPD-ROUTER-3211,220.128.0.63,10000,170,270
223D-70952,TPDT-ROUTER-3011,220.128.0.91,PCPD-ROUTER-3211,220.128.0.63,10000,170,270
223D-71476,TPDB-ROUTER-3021,220.128.0.93,PCPD-ROUTER-3211,220.128.0.63,100000,160,260
33E-91032,TYFO-ROUTER-3015,220.128.0.45,PCPD-ROUTER-3211,220.128.0.63,100000,230,230
223D-70954,TPDT-ROUTER-3012,220.128.0.92,PCPD-ROUTER-3212,220.128.0.64,10000,170,270
HB10900278,PCPD-ROUTER-3211,220.128.0.63,PCPD-ROUTER-3212,220.128.0.64,100000,10,10
33E-91068,TYFO-ROUTER-3016,220.128.0.46,PCPD-ROUTER-3212,220.128.0.64,100000,230,230
223D-70955,TPDT-ROUTER-3012,220.128.0.92,PCPD-ROUTER-3212,220.128.0.64,10000,170,270
HB20100476,TCHN-ROUTER-3012,220.128.0.140,TCHN-ROUTER-3611,203.75.212.135,10000,100,100
HB20100475,TCHN-ROUTER-3011,220.128.0.139,TCHN-ROUTER-3611,203.75.212.135,10000,100,100
HB30100033,SKC1-ROUTER-3012,220.128.0.200,SKC1-ROUTER-3611,203.75.189.43,10000,100,100
HB30100030,SKC1-ROUTER-3011,220.128.0.199,SKC1-ROUTER-3611,203.75.189.43,10000,100,100
HB10101990,TPDT-ROUTER-3012,220.128.0.92,TPDT-ROUTER-3611,220.128.0.111,10000,100,100
HB10101989,TPDT-ROUTER-3011,220.128.0.91,TPDT-ROUTER-3611,220.128.0.111,10000,100,100
223D-70653,TPDT-ROUTER-3012,220.128.0.92,PCPC-ROUTER-3202,220.128.0.68,10000,160,160
